target,indicia,prelude,finale,quarter,equation,flag,source,comment
E,,,,,2.718281828,,,
FinanceExpense,,,,,interest_expense -interest_income+commission_expense-commission_income-exchange_income,addOnly,financial_report_quarterly,
IC,,,,,total_assets-total_current_liability+shortterm_loan+non_current_liability_in_one_year+notes_payable,addOnly,financial_report_quarterly,资产总计 -流动负 债+应付票据 +短期借款 +一年内到期 的长负债
OperatingCapital,,,,,total_assets-total_current_liability,addOnly,financial_report_quarterly,
LongtermCapital,,,,,total_owner_equities+total_non_current_liability,addOnly,financial_report_quarterly,非流动负债平均余额+所有者权益平均余额
CompanyValue,,,,,market_cap+total_liability-cash_at_end,addOnly,mixed,
Accrual,,,,,net_profit-net_operate_cash_flow,addOnly,financial_report_quarterly,
NOA,,,,,fixed_assets+total_current_assets-total_current_liability,addOnly,financial_report_quarterly,
EBI,,,,,net_profit+FinanceExpense,addOnly,financial_report_quarterly,（净利润 +财务费用 ）
EBIT,,,,,"net_profit+interest_expense+income_tax_expense

",addOnly,financial_report_quarterly,EBIT=净利润+所得税+利息
EBITDA,,,,,"net_profit+interest_expense+income_tax_expense+depreciation+intangible_assets_amortization

",addOnly,financial_report_quarterly,EBITDA=净利润+所得税+利息+折旧+摊销
TATAsum,,,,,total_current_assets-cash_at_end-total_current_liability+non_current_liability_in_one_year+taxs_payable,addOnly,financial_report_quarterly,
MTA,,,,,total_liability+market_cap,addOnly,mixed,总资产市值= 权益的市值+ 总负债
PE,key,year,,,market_cap/net_profit,value,mixed,
VE,key,year,,,CompanyValue/EBITDA,value,NotInData,
ROE,key,year,,,net_profit/total_owner_equities,value,financial_report_quarterly,
PM,,quarter,,,(operating_revenue-operating_cost)/operating_revenue,经营效率,financial_report_quarterly,
ATO,key,quarter,,,operating_revenue/NOA,经营效率,financial_report_quarterly,
RNOA,key,quarter,,,(operating_revenue-operating_cost)/NOA,经营效率,financial_report_quarterly,
ROA,key,quarter,,,net_profit/total_assets,盈利能力,financial_report_quarterly,
ROC,key,quarter,,,EBI/LongtermCapital,盈利能力,NotInData,（利润总额 +财务费用 ）／长期资本额
ROIC,key,quarter,,,EBI/IC,盈利能力,NotInData,
GrossMargin,,quarter,,,(operating_revenue-operating_cost)/operating_revenue,盈利能力,financial_report_quarterly,
ROA8yr,key,,percent_geometric,32,ROA,盈利能力,NotInData,
ROC8yr,key,,percent_geometric,32,ROC,盈利能力,NotInData,
ROIC8yr,key,,percent_geometric,32,ROIC,盈利能力,NotInData,
MG,key,,change,2,GrossMargin,盈利能力,NotInData,
MG8yr,key,,percent_geometric,32,MG,盈利能力,NotInData,
Gmmean,,,mean,32,GrossMargin,盈利能力,NotInData,
Gmsd,,,sd,32,GrossMargin,盈利能力,NotInData,
MS,key,,,,Gmmean/Gmsd,盈利能力,NotInData,
DSRI,,quarter,change,2,(account_receivable-accounts_payable)/operating_revenue,盈余质量,financial_report_quarterly,
GMI,,quarter,change,2,operating_revenue/(operating_revenue-operating_cost),盈余质量,financial_report_quarterly,
AQI,,quarter,change,2,1-(total_current_assets+fixed_assets+longterm_equity_invest)/total_assets,盈余质量,financial_report_quarterly,
SGI,,quarter,change,2,operating_revenue,盈余质量,financial_report_quarterly,
DEPI,,quarter,change,2,(depreciation+fixed_assets)/depreciation,盈余质量,financial_report_quarterly,
